[ANB] 	33 34 48 	85 50 59 	Anniston,AL
[AUO] 	32 40 11 	85 26 24 	Auburn,AL
[BHM] 	33 34 11 	86 45 0 	Birmingham,AL
[CKL] 	32 54 0 	87 15 0 	Centreville,AL
[DHN] 	31 19 11 	85 26 59 	Dothan,AL
[OZR] 	31 16 48 	85 43 12 	FortRucker,AL
[GAD] 	33 58 12 	86 5 23 	Gadsden,AL
[HSV] 	34 39 0 	86 46 11 	Huntsville,AL
[MXF] 	32 22 48 	86 22 12 	MaxwellAFB,AL
[MOB] 	30 40 48 	88 15 0 	Mobile,AL
[BFM] 	30 37 47 	88 4 11 	MobileAeros,AL
[MGM] 	32 17 59 	86 24 0 	Montgomery,AL
[MSL] 	34 45 0 	87 37 12 	MuscleShoal,AL
[SEM] 	32 20 24 	86 59 23 	Selma,AL
[TOI] 	31 52 12 	86 1 11 	Troy,AL
[TCL] 	33 13 47 	87 37 12 	Tuscaloosa,AL
[ADK] 	51 52 48 	176 38 59 	Adak,AK
[Z60] 	67 5 59 	157 51 0 	Ambler,AK
[ANC] 	61 10 11 	150 1 12 	Anchorage,AK
[MRI] 	61 13 12 	149 51 0 	Anchorage,AK
[AGN] 	57 49 48 	134 58 12 	Angoon,AK
[ANI] 	61 34 48 	159 31 47 	Aniak,AK
[ANN] 	55 1 47 	131 34 12 	AnnetteIsl,AK
[ATU] 	53 30 0 	173 18 0 	Attu,AK
[BRW] 	71 18 0 	156 46 47 	Barrow,AK
[BTI] 	70 7 47 	143 37 48 	BarterIslan,AK
[BET] 	60 46 47 	161 48 0 	BethelArpt,AK
[BTT] 	66 55 11 	151 31 12 	Bettles,AK
[BIG] 	64 0 0 		145 43 47 	BigDelta,AK
[5BI] 	60 49 11 	152 18 0 	BigRiverLk,AK
[Z68] 	63 22 48 	148 56 59 	Cantwell,AK
[CDE] 	56 0 0 		134 13 12 	CapeDecis,AK
[5HN] 	60 22 48 	147 4 48 	CapeHinchi,AK
[CSP] 	58 19 48 	137 3 0 	CapeSpence,AK
[5CE] 	60 19 48 	145 0 0 	CapeStEli,AK
[WCR] 	67 30 0 	148 28 47 	ChandalarLk,AK
[Z00] 	62 52 48 	149 49 48 	Chulitna,AK
